Feature 1,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
118373.0,1,1.101796407,37.0,1.0,0.107578484,5000.0,5.0,1.0,0.0,1.0,3.0
32677.0,0,0.225913215,41.0,0.0,0.441102757,13166.0,18.0,0.0,3.0,0.0,0.0
114588.0,0,0.218311902,51.0,1.0,0.256207427,4550.0,8.0,0.0,1.0,0.0,0.0
110861.0,0,0.007272066,69.0,0.0,0.229149115,4747.0,6.0,0.0,1.0,0.0,0.0
50219.0,0,0.029476879,73.0,0.0,0.264173136,4250.0,6.0,0.0,0.0,0.0,1.0
105378.0,0,0.66370612,39.0,0.0,0.05714782,5756.0,3.0,0.0,0.0,0.0,1.0
55411.0,0,0.294422382,34.0,0.0,0.395075616,8000.0,12.0,0.0,1.0,0.0,2.0
55775.0,0,0.818579463,32.0,1.0,0.293897105,4800.0,5.0,0.0,1.0,0.0,4.0
68397.0,0,0.030751407,37.0,0.0,0.217104089,5600.0,9.0,0.0,0.0,0.0,0.0
32542.0,0,0.046631034,35.0,0.0,935.0,0.0,7.0,0.0,1.0,0.0,2.0
4132.0,0,1.026929743,30.0,0.0,0.318780203,6000.0,7.0,0.0,1.0,0.0,0.0
94952.0,0,0.152953882,52.0,0.0,0.547484172,3000.0,6.0,0.0,1.0,0.0,2.0
49363.0,0,0.001151445,37.0,0.0,821.0,0.0,4.0,0.0,0.0,0.0,1.0
105259.0,0,0.023962863,69.0,0.0,0.253560588,4282.0,8.0,0.0,1.0,0.0,0.0
73146.0,0,0.052262653,58.0,0.0,15.0,,3.0,0.0,0.0,1.0,1.0
147680.0,0,0.10236734,57.0,0.0,0.095879556,8833.0,6.0,0.0,1.0,0.0,1.0
46764.0,0,0.170542332,48.0,0.0,0.279053338,2830.0,7.0,0.0,1.0,0.0,2.0
47613.0,0,0.001989617,46.0,0.0,0.09086899,6800.0,10.0,0.0,0.0,0.0,1.0
33847.0,0,0.098389623,62.0,0.0,0.077084583,3333.0,4.0,0.0,0.0,0.0,0.0
127835.0,0,0.260086996,42.0,0.0,0.228053733,3200.0,4.0,0.0,0.0,0.0,1.0
87848.0,0,0.067729084,52.0,2.0,0.540129327,2628.0,6.0,0.0,1.0,1.0,1.0
60539.0,0,0.027947694,81.0,0.0,25.0,,12.0,0.0,0.0,0.0,0.0
132133.0,0,0.075599422,54.0,0.0,0.306917792,8441.0,7.0,0.0,1.0,0.0,0.0
71672.0,0,0.204737317,45.0,0.0,0.18973306,9739.0,6.0,0.0,1.0,0.0,0.0
25065.0,1,1.002444263,35.0,0.0,2635.0,,14.0,0.0,0.0,0.0,0.0
65970.0,0,0.208065125,68.0,0.0,0.440327238,6233.0,7.0,0.0,1.0,0.0,0.0
122616.0,0,0.289985501,48.0,0.0,0.125221533,54167.0,18.0,0.0,2.0,0.0,2.0
31272.0,0,0.013206028,85.0,0.0,0.003732836,7500.0,7.0,0.0,0.0,0.0,0.0
29537.0,0,0.211951479,62.0,0.0,0.07155158,18000.0,7.0,0.0,1.0,0.0,0.0
98773.0,0,0.385257373,55.0,0.0,0.432956381,6808.0,14.0,0.0,2.0,0.0,2.0
110230.0,0,0.060370835,60.0,0.0,0.27441932,6500.0,8.0,0.0,1.0,0.0,0.0
62852.0,0,0.036178564,76.0,0.0,0.342841909,3750.0,16.0,0.0,2.0,0.0,0.0
146375.0,0,0.780888445,39.0,1.0,0.106841612,3200.0,8.0,0.0,0.0,1.0,0.0
61330.0,0,0.862275449,58.0,1.0,12.0,,1.0,0.0,0.0,0.0,0.0
12071.0,0,0.110279437,64.0,0.0,0.186185468,8367.0,10.0,0.0,1.0,0.0,0.0
143922.0,0,0.952248407,64.0,0.0,0.516664436,7470.0,12.0,0.0,2.0,0.0,0.0
29975.0,0,0.0,38.0,1.0,0.470154753,5427.0,7.0,0.0,1.0,0.0,1.0
104723.0,0,0.128067872,39.0,0.0,1541.0,,10.0,0.0,1.0,0.0,0.0
71479.0,0,0.661295605,80.0,0.0,1.679929266,1130.0,15.0,0.0,1.0,0.0,0.0
92143.0,0,0.031145368,75.0,0.0,0.017174753,2328.0,9.0,0.0,0.0,0.0,0.0
96043.0,0,0.003928478,63.0,0.0,0.000499376,8009.0,2.0,0.0,0.0,0.0,0.0
85988.0,0,0.277794278,68.0,0.0,407.0,,6.0,0.0,0.0,0.0,0.0
114136.0,0,0.9999999,35.0,1.0,0.130166398,3725.0,1.0,0.0,0.0,0.0,1.0
11989.0,0,0.03388465,66.0,0.0,0.028911105,3700.0,16.0,0.0,0.0,0.0,0.0
142703.0,0,0.021529081,56.0,0.0,0.009141551,7000.0,10.0,0.0,0.0,0.0,3.0
127340.0,0,0.002599395,46.0,0.0,0.753623188,2000.0,16.0,0.0,1.0,0.0,1.0
35609.0,0,0.07559622,42.0,1.0,0.568886223,5000.0,20.0,0.0,2.0,0.0,0.0
89231.0,0,0.026709924,34.0,0.0,0.232656771,3300.0,7.0,0.0,1.0,0.0,0.0
43124.0,0,0.739426057,62.0,1.0,0.271247529,8600.0,9.0,0.0,1.0,0.0,0.0
123563.0,0,0.023959042,35.0,0.0,3242.0,,6.0,0.0,2.0,0.0,0.0
128800.0,1,0.774848067,63.0,0.0,0.882876712,4379.0,22.0,0.0,2.0,0.0,0.0
120217.0,0,0.190675583,41.0,0.0,0.09007808,5250.0,5.0,0.0,0.0,0.0,1.0
25646.0,1,0.532715667,61.0,1.0,0.373851008,7288.0,8.0,0.0,1.0,0.0,0.0
18683.0,0,0.0,43.0,0.0,14.0,,1.0,0.0,0.0,0.0,0.0
139802.0,0,0.9999999,40.0,1.0,0.0,4000.0,3.0,0.0,0.0,0.0,2.0
33921.0,0,0.9999999,31.0,0.0,1.089273112,2833.0,9.0,0.0,1.0,0.0,0.0
124938.0,0,0.489824632,71.0,1.0,902.0,,5.0,0.0,0.0,0.0,0.0
15012.0,1,0.9999999,29.0,0.0,0.259067358,5210.0,3.0,3.0,0.0,2.0,1.0
67565.0,0,0.9999999,25.0,0.0,520.0,,1.0,0.0,0.0,0.0,
50678.0,0,0.250926095,42.0,0.0,0.39188401,12000.0,14.0,0.0,1.0,0.0,0.0
37123.0,0,0.008911134,61.0,0.0,0.058853634,5861.0,10.0,0.0,0.0,0.0,0.0
111860.0,0,0.248979252,74.0,2.0,0.230699305,15400.0,8.0,0.0,2.0,0.0,1.0
131280.0,0,0.213315351,68.0,0.0,0.59738885,2833.0,21.0,0.0,1.0,0.0,0.0
44626.0,0,0.065051942,43.0,0.0,0.005832361,6000.0,2.0,0.0,0.0,0.0,0.0
34277.0,0,0.018065472,67.0,0.0,0.153584585,3528.0,6.0,0.0,1.0,0.0,1.0
106911.0,0,0.637952559,28.0,0.0,0.178256611,4083.0,4.0,0.0,0.0,0.0,0.0
78716.0,0,0.252043489,46.0,0.0,0.201583873,4166.0,3.0,0.0,0.0,0.0,0.0
43019.0,0,0.000122447,54.0,0.0,690.0,,11.0,0.0,1.0,0.0,
115681.0,0,0.036060246,50.0,0.0,17.0,,1.0,0.0,0.0,0.0,0.0
58183.0,0,0.002977263,51.0,0.0,384.0,,5.0,0.0,0.0,0.0,0.0
54027.0,0,0.037793146,36.0,0.0,2108.0,,10.0,0.0,2.0,0.0,0.0
43903.0,0,0.0,66.0,0.0,86.0,,4.0,0.0,0.0,0.0,
71903.0,0,0.566900919,40.0,0.0,0.564562826,5180.0,7.0,0.0,2.0,0.0,0.0
116748.0,0,0.0,54.0,0.0,0.231256742,7415.0,6.0,0.0,1.0,0.0,0.0
120021.0,0,0.780260939,69.0,0.0,4708.0,,21.0,0.0,1.0,0.0,0.0
104957.0,0,0.0,51.0,0.0,0.0,7292.0,1.0,0.0,0.0,0.0,4.0
57211.0,0,0.9999999,48.0,0.0,4037.0,,3.0,0.0,2.0,0.0,0.0
80305.0,0,0.111703647,51.0,0.0,1500.0,,6.0,0.0,1.0,0.0,1.0
61997.0,0,0.334366563,49.0,0.0,4886.0,,7.0,0.0,2.0,0.0,0.0
111153.0,0,0.06449785,51.0,1.0,0.327070762,14583.0,6.0,0.0,2.0,0.0,0.0
105212.0,0,0.0,24.0,0.0,0.0,400.0,2.0,0.0,0.0,0.0,0.0
131748.0,0,0.971991849,52.0,2.0,0.894948708,7700.0,15.0,0.0,7.0,0.0,0.0
33301.0,0,0.000967638,87.0,0.0,1044.0,,4.0,0.0,1.0,0.0,0.0
131237.0,0,0.651617419,52.0,1.0,0.216783217,3574.0,7.0,0.0,0.0,0.0,0.0
61142.0,0,0.346904252,61.0,0.0,0.510181414,2700.0,6.0,0.0,0.0,0.0,0.0
57372.0,0,0.079131966,41.0,0.0,0.184214513,6600.0,4.0,0.0,1.0,0.0,2.0
15402.0,0,0.0,66.0,0.0,0.0,,13.0,0.0,0.0,0.0,0.0
131018.0,0,0.079238254,63.0,0.0,2112.0,,7.0,0.0,1.0,0.0,0.0
118490.0,0,0.019867259,77.0,0.0,0.141882009,2050.0,7.0,0.0,0.0,0.0,0.0
99662.0,1,0.497819894,62.0,1.0,0.40617901,2200.0,2.0,1.0,0.0,0.0,0.0
11555.0,0,0.875601629,37.0,1.0,0.842840512,858.0,6.0,0.0,0.0,0.0,0.0
27909.0,0,0.417873775,61.0,0.0,0.200549451,2183.0,3.0,0.0,0.0,0.0,0.0
130896.0,0,0.152022025,70.0,0.0,0.549709439,6366.0,7.0,0.0,4.0,0.0,0.0
68952.0,0,0.036102748,55.0,0.0,2470.0,,17.0,0.0,1.0,0.0,0.0
70796.0,0,0.0,54.0,0.0,0.396742292,6875.0,9.0,0.0,1.0,0.0,0.0
39839.0,0,0.9999999,36.0,0.0,0.330485698,10417.0,6.0,0.0,2.0,0.0,0.0
7385.0,0,0.017966209,50.0,4.0,2420.0,,13.0,0.0,1.0,0.0,
66326.0,0,0.251550337,39.0,0.0,3438.0,,10.0,0.0,1.0,0.0,2.0
23208.0,0,0.313438341,64.0,0.0,0.279008439,7583.0,8.0,0.0,1.0,0.0,1.0
88514.0,1,0.0,36.0,0.0,0.747061208,2466.0,5.0,2.0,1.0,0.0,0.0
7736.0,0,0.118180114,42.0,0.0,0.419930012,6000.0,5.0,0.0,2.0,0.0,4.0
138711.0,1,0.891015569,25.0,1.0,1.621285418,1446.0,6.0,0.0,1.0,0.0,0.0
74917.0,0,0.032188521,56.0,0.0,0.40793724,6500.0,11.0,0.0,1.0,0.0,0.0
69377.0,0,0.97330267,42.0,0.0,0.340806231,9500.0,7.0,0.0,2.0,0.0,2.0
100256.0,0,0.595554017,59.0,0.0,0.413781282,8750.0,12.0,0.0,1.0,0.0,1.0
137225.0,0,0.593768372,28.0,2.0,0.086691331,10000.0,10.0,0.0,0.0,0.0,0.0
141112.0,0,0.166394434,40.0,0.0,1.00159936,2500.0,12.0,0.0,2.0,0.0,1.0
21823.0,0,0.052923789,43.0,0.0,0.150430922,3828.0,10.0,0.0,0.0,0.0,2.0
55536.0,0,0.245810573,47.0,0.0,0.112418005,4420.0,4.0,0.0,0.0,0.0,0.0
89176.0,0,0.053986503,68.0,0.0,1648.0,,4.0,0.0,1.0,0.0,0.0
147176.0,0,0.546109287,49.0,1.0,0.426273788,8144.0,12.0,0.0,2.0,0.0,0.0
122452.0,0,0.0,64.0,0.0,0.331043593,3784.0,7.0,0.0,1.0,0.0,0.0
109318.0,0,0.508175509,29.0,0.0,0.107410491,1200.0,3.0,0.0,0.0,1.0,0.0
43263.0,0,0.9999999,23.0,0.0,0.214616096,1080.0,1.0,0.0,0.0,0.0,0.0
40668.0,0,0.288359243,28.0,1.0,0.114104223,8500.0,5.0,0.0,0.0,0.0,0.0
109105.0,0,0.0,57.0,0.0,0.220157493,24000.0,11.0,0.0,2.0,0.0,2.0
144059.0,0,0.046259487,64.0,0.0,0.0019996,5000.0,6.0,0.0,0.0,1.0,0.0
141901.0,0,0.069182748,64.0,0.0,0.486093438,5500.0,8.0,0.0,1.0,0.0,0.0
142158.0,0,0.915687069,67.0,0.0,0.437890527,4000.0,6.0,0.0,2.0,0.0,0.0
149774.0,0,0.002212672,78.0,0.0,0.008554705,2220.0,3.0,0.0,0.0,0.0,0.0
139003.0,0,0.010249767,89.0,0.0,13.0,,2.0,0.0,0.0,0.0,0.0
33314.0,0,0.064678484,47.0,1.0,1587.0,,5.0,0.0,1.0,0.0,2.0
22070.0,0,0.0,32.0,0.0,0.388605697,3334.0,8.0,0.0,1.0,0.0,0.0
53539.0,0,0.016347848,83.0,0.0,0.006136606,3747.0,3.0,0.0,0.0,0.0,0.0
52058.0,0,0.089391061,49.0,0.0,0.18990755,7787.0,5.0,0.0,1.0,0.0,3.0
60721.0,0,0.9999999,26.0,0.0,0.006996502,2000.0,1.0,0.0,0.0,0.0,0.0
4923.0,1,0.59304296,63.0,0.0,0.506606356,8400.0,12.0,1.0,2.0,0.0,0.0
32834.0,0,0.318730862,49.0,1.0,0.344500387,5163.0,10.0,0.0,1.0,0.0,2.0
31585.0,0,0.021177307,50.0,0.0,0.110315186,8375.0,3.0,0.0,1.0,0.0,0.0
85623.0,0,0.005293529,57.0,0.0,0.548808832,6883.0,12.0,0.0,2.0,0.0,0.0
139187.0,0,0.044012692,45.0,0.0,0.313723856,12000.0,21.0,0.0,1.0,0.0,0.0
70107.0,0,0.915023183,71.0,0.0,3670.0,,13.0,0.0,2.0,0.0,0.0
35014.0,0,0.508511213,23.0,0.0,0.182752294,2724.0,2.0,0.0,0.0,0.0,2.0
120378.0,0,0.0,46.0,0.0,0.186562687,5000.0,5.0,0.0,1.0,0.0,4.0
18686.0,0,0.415064993,28.0,0.0,0.130289903,3000.0,6.0,0.0,0.0,0.0,0.0
117835.0,0,0.242354918,37.0,0.0,0.206332374,6600.0,12.0,0.0,0.0,0.0,2.0
35164.0,0,0.46403912,51.0,0.0,0.562397373,15833.0,10.0,0.0,2.0,0.0,1.0
48031.0,0,0.002307633,63.0,0.0,0.278023771,4290.0,6.0,0.0,2.0,0.0,0.0
49352.0,0,0.024999569,61.0,0.0,1785.0,,17.0,0.0,1.0,0.0,0.0
118574.0,0,0.822763573,42.0,0.0,0.254824875,5595.0,9.0,0.0,0.0,5.0,2.0
125419.0,0,0.064080259,46.0,0.0,0.400092507,10809.0,5.0,0.0,2.0,0.0,1.0
20063.0,0,0.008700047,53.0,0.0,3557.0,,5.0,0.0,2.0,0.0,3.0
35054.0,0,0.024881639,58.0,0.0,49.0,,3.0,0.0,0.0,0.0,0.0
10010.0,0,0.229960883,49.0,2.0,920.0,,16.0,0.0,0.0,0.0,0.0
38503.0,0,0.00434959,42.0,0.0,0.164285714,3219.0,6.0,0.0,0.0,0.0,2.0
71088.0,0,0.014549273,63.0,0.0,0.412007398,7028.0,12.0,0.0,1.0,0.0,0.0
18615.0,0,0.000861931,72.0,0.0,2242.0,,20.0,0.0,2.0,0.0,0.0
31740.0,0,0.247604681,64.0,0.0,0.599707816,6844.0,24.0,0.0,3.0,0.0,1.0
37053.0,0,0.125222529,58.0,1.0,0.245853429,8500.0,5.0,0.0,1.0,0.0,0.0
107445.0,0,0.004019898,63.0,0.0,0.006929047,3607.0,2.0,0.0,0.0,0.0,0.0
35115.0,0,0.9999999,23.0,0.0,0.0,,0.0,0.0,0.0,0.0,
97223.0,0,0.442299866,52.0,0.0,1017.0,,6.0,0.0,1.0,0.0,0.0
4166.0,0,0.020095221,79.0,0.0,0.009703645,3812.0,9.0,0.0,0.0,0.0,0.0
34411.0,0,0.229448971,60.0,0.0,0.357169322,8096.0,15.0,0.0,1.0,0.0,1.0
139109.0,0,0.455418282,55.0,0.0,0.402417505,11333.0,7.0,1.0,1.0,0.0,4.0
38332.0,0,0.459414319,47.0,0.0,0.481123944,5800.0,10.0,0.0,3.0,0.0,2.0
61919.0,0,0.997500625,39.0,0.0,0.284959292,7000.0,3.0,0.0,1.0,0.0,3.0
82635.0,0,0.04595186,67.0,0.0,574.0,,7.0,0.0,1.0,0.0,
132024.0,0,0.082724906,28.0,0.0,332.0,,9.0,0.0,0.0,0.0,0.0
32280.0,0,0.0,76.0,0.0,693.0,,5.0,0.0,1.0,0.0,0.0
95009.0,0,0.313889387,59.0,0.0,0.316701138,3867.0,5.0,0.0,1.0,0.0,0.0
92001.0,0,0.50163345,66.0,0.0,3820.0,,7.0,0.0,2.0,0.0,
13448.0,0,0.014999,31.0,0.0,0.056095529,3600.0,6.0,0.0,0.0,0.0,2.0
88905.0,0,0.000327858,44.0,0.0,26.0,,10.0,0.0,0.0,0.0,0.0
102144.0,0,0.979755061,23.0,0.0,0.142509135,820.0,1.0,0.0,0.0,0.0,0.0
81260.0,0,0.012501447,63.0,0.0,0.027939747,4115.0,12.0,0.0,1.0,0.0,0.0
99754.0,0,0.246279317,32.0,0.0,0.471254791,6000.0,8.0,0.0,1.0,0.0,1.0
30868.0,0,0.267483671,66.0,0.0,0.743083004,505.0,6.0,0.0,0.0,0.0,0.0
39312.0,0,0.003483692,66.0,0.0,2633.0,,7.0,0.0,1.0,0.0,1.0
114531.0,0,0.047742243,63.0,0.0,1232.0,,4.0,0.0,1.0,0.0,0.0
1815.0,0,0.021639523,56.0,0.0,0.323073492,8966.0,21.0,0.0,2.0,0.0,2.0
111265.0,0,0.070769332,37.0,1.0,883.0,,17.0,0.0,0.0,0.0,0.0
50624.0,0,0.045710241,52.0,0.0,0.339969646,11200.0,23.0,0.0,2.0,0.0,1.0
49387.0,0,0.154759084,46.0,1.0,0.370802433,12000.0,13.0,0.0,2.0,0.0,3.0
64067.0,0,0.000124415,59.0,0.0,1659.0,,8.0,0.0,1.0,0.0,1.0
2374.0,0,0.385384551,38.0,0.0,1.053037608,1036.0,4.0,0.0,1.0,0.0,0.0
70386.0,0,0.176254916,43.0,1.0,0.014997973,7400.0,5.0,0.0,0.0,0.0,0.0
39684.0,0,0.513123698,49.0,0.0,0.553864518,3350.0,8.0,0.0,1.0,0.0,1.0
66841.0,0,0.831302718,49.0,1.0,0.766722209,4200.0,7.0,0.0,2.0,1.0,0.0
88624.0,0,0.0,32.0,0.0,0.0,,7.0,0.0,0.0,0.0,0.0
7209.0,0,0.069398265,56.0,0.0,0.187771346,2763.0,5.0,0.0,1.0,0.0,0.0
57406.0,0,0.667990356,42.0,0.0,0.180545636,7000.0,8.0,1.0,0.0,0.0,3.0
2123.0,0,0.671517276,37.0,0.0,0.387526779,4200.0,12.0,0.0,0.0,0.0,0.0
107827.0,0,0.0,39.0,0.0,9428.0,,10.0,0.0,2.0,0.0,2.0
